stock_delivery_date,inventory_cycle,coverage_window,cycle_days,cycle_total_sales,cycle_total_units,cycle_avg_order_value,recommended_stock_units,avg_recommended_stock_pct,festival_days,christmas_market_days,low_sales_inconsistent_days,product_mix_shift_days,dominant_festival,dominant_holiday,max_aov_deviation_pct,max_poutine_share_shift_pct,max_new_poutine_share,cycle_sales_band,festival_buffer_pct,low_sales_inconsistency_buffer_pct,product_mix_buffer_pct,observed_stock_order_units,estimated_waste_units,estimated_waste_rate_pct,primary_wastage_driver,inventory_observation
2023-12-28,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),1,3570.61,429,18.6,85.8,0.2,0,0,0,0,No Festival,Christmas Holiday,0.0,0.0,0.0,3k-5k,0.0,0.0,0.0,85.8,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-01-01,Monday Delivery,Tue-Wed-Thu,3,10977.27,1318,18.01,263.6,0.2,0,0,0,0,No Festival,Christmas Holiday,0.0,0.0,0.0,10k-12k,0.0,0.0,0.0,263.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-01-04,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,28948.27,3279,19.62,734.1,0.22,0,0,0,0,No Festival,No School Holiday,4.4,0.22,0.0,12k+,0.0,0.0,0.0,734.1,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-01-08,Monday Delivery,Tue-Wed-Thu,3,10361.54,1253,18.41,250.6,0.2,0,0,0,1,No Festival,No School Holiday,9.04,7.61,0.0,10k-12k,0.0,0.0,0.02,275.7,25.1,9.1,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-01-11,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,26524.48,3027,19.57,667.9,0.22,0,0,0,0,No Festival,No School Holiday,6.6,4.1,0.0,12k+,0.0,0.0,0.0,667.9,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-01-15,Monday Delivery,Tue-Wed-Thu,3,10239.7,1211,18.56,242.2,0.2,0,0,0,0,No Festival,No School Holiday,9.78,2.61,0.0,10k-12k,0.0,0.0,0.0,242.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-01-18,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,27446.19,3125,19.34,698.6,0.22,0,0,0,0,No Festival,No School Holiday,5.38,2.3,0.0,12k+,0.0,0.0,0.0,698.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-01-22,Monday Delivery,Tue-Wed-Thu,3,10653.06,1265,18.28,253.0,0.2,0,0,0,0,No Festival,No School Holiday,6.61,3.21,0.0,10k-12k,0.0,0.0,0.0,253.0,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-01-25,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,26727.11,3092,19.43,682.9,0.22,0,0,0,0,No Festival,No School Holiday,4.8,1.93,0.0,12k+,0.0,0.0,0.0,682.9,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-01-29,Monday Delivery,Tue-Wed-Thu,3,11236.76,1346,18.73,269.2,0.2,0,0,0,0,No Festival,No School Holiday,3.77,4.13,0.0,10k-12k,0.0,0.0,0.0,269.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-02-01,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,27853.34,3194,19.25,703.7,0.22,0,0,0,0,No Festival,No School Holiday,2.9,4.9,0.0,12k+,0.0,0.0,0.0,703.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-02-05,Monday Delivery,Tue-Wed-Thu,3,13905.47,1702,18.59,357.4,0.21,1,0,0,0,No Festival,No School Holiday,7.29,3.94,0.0,12k+,0.03,0.0,0.0,408.5,51.1,12.5,Festival stock uplift,Festival uplift triggered additional stock and higher expiry risk.
2024-02-08,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,41282.0,5227,19.08,1266.9,0.24,4,0,0,0,Karneval,No School Holiday,2.03,2.18,0.0,12k+,0.03,0.0,0.0,1423.7,156.8,11.0,Festival stock uplift,Festival uplift triggered additional stock and higher expiry risk.
2024-02-12,Monday Delivery,Tue-Wed-Thu,3,17113.28,2097,18.58,454.8,0.21,2,0,0,0,Karneval,No School Holiday,9.34,5.48,0.0,12k+,0.03,0.0,0.0,517.7,62.9,12.1,Festival stock uplift,Festival uplift triggered additional stock and higher expiry risk.
2024-02-15,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,27448.36,3144,19.43,693.6,0.22,0,0,1,1,No Festival,No School Holiday,10.76,8.72,0.0,12k+,0.0,0.02,0.02,819.4,125.8,15.4,Low-sales order value inconsistency,"Low-sales cycle still showed volatile order value, which can distort stock ordering."
